C:\Users\Akshay\Desktop\Data\IMG\center_2020_03_23_18_18_25_368.jpg,C:\Users\Akshay\Desktop\Data\IMG\left_2020_03_23_18_18_25_368.jpg,C:\Users\Akshay\Desktop\Data\IMG\right_2020_03_23_18_18_25_368.jpg,0,0,0,6.716269
C:\Users\Akshay\Desktop\Data\IMG\center_2020_03_23_18_18_25_434.jpg,C:\Users\Akshay\Desktop\Data\IMG\left_2020_03_23_18_18_25_434.jpg,C:\Users\Akshay\Desktop\Data\IMG\right_2020_03_23_18_18_25_434.jpg,0,0,0,6.675748
C:\Users\Akshay\Desktop\Data\IMG\center_2020_03_23_18_18_25_503.jpg,C:\Users\Akshay\Desktop\Data\IMG\left_2020_03_23_18_18_25_503.jpg,C:\Users\Akshay\Desktop\Data\IMG\right_2020_03_23_18_18_25_503.jpg,0,0,0,6.622104
C:\Users\Akshay\Desktop\Data\IMG\center_2020_03_23_18_18_25_572.jpg,C:\Users\Akshay\Desktop\Data\IMG\left_2020_03_23_18_18_25_572.jpg,C:\Users\Akshay\Desktop\Data\IMG\right_2020_03_23_18_18_25_572.jpg,0,0,0,6.581647
C:\Users\Akshay\Desktop\Data\IMG\center_2020_03_23_18_18_25_641.jpg,C:\Users\Akshay\Desktop\Data\IMG\left_2020_03_23_18_18_25_641.jpg,C:\Users\Akshay\Desktop\Data\IMG\right_2020_03_23_18_18_25_641.jpg,0,0,0,6.528095
C:\Users\Akshay\Desktop\Data\IMG\center_2020_03_23_18_18_25_710.jpg,C:\Users\Akshay\Desktop\Data\IMG\left_2020_03_23_18_18_25_710.jpg,C:\Users\Akshay\Desktop\Data\IMG\right_2020_03_23_18_18_25_710.jpg,0,0,0,6.487763
C:\Users\Akshay\Desktop\Data\IMG\center_2020_03_23_18_18_25_777.jpg,C:\Users\Akshay\Desktop\Data\IMG\left_2020_03_23_18_18_25_777.jpg,C:\Users\Akshay\Desktop\Data\IMG\right_2020_03_23_18_18_25_777.jpg,0,0,0,6.447471
C:\Users\Akshay\Desktop\Data\IMG\center_2020_03_23_18_18_25_845.jpg,C:\Users\Akshay\Desktop\Data\IMG\left_2020_03_23_18_18_25_845.jpg,C:\Users\Akshay\Desktop\Data\IMG\right_2020_03_23_18_18_25_845.jpg,0,0,0,6.394134
C:\Users\Akshay\Desktop\Data\IMG\center_2020_03_23_18_18_25_914.jpg,C:\Users\Akshay\Desktop\Data\IMG\left_2020_03_23_18_18_25_914.jpg,C:\Users\Akshay\Desktop\Data\IMG\right_2020_03_23_18_18_25_914.jpg,0,0,0,6.354417
C:\Users\Akshay\Desktop\Data\IMG\center_2020_03_23_18_18_25_983.jpg,C:\Users\Akshay\Desktop\Data\IMG\left_2020_03_23_18_18_25_983.jpg,C:\Users\Akshay\Desktop\Data\IMG\right_2020_03_23_18_18_25_983.jpg,-0.15,0,0,6.297782
